subject,prompt
john blanche,"red dragon in the waves art print,, in the style of kōji morimoto,, neo-traditional japanese,, john blanche,, murals and wall drawings,, tyler walpole,, intense close-ups,, absurdist --ar 71:128 --stylize 750 --v 5., 2"
woman,"a woman's form floating across an image with smoke,, in the style of ink wash paintings,, graceful curves,, light gray and indigo,, intricate costumes,, soft and airy compositions,, flowing forms,, light black and bronze --ar 68:128 --stylize 750 --v 5., 2"
Rough charcoal sketch,"Rough charcoal sketch on old paper,, beautiful female figure,, seductive pose,, clean line art --ar 68:128 --stylize 750 --v 5., 2"
martin ansin,"a colored painting of a pretty woman with an eye for detail,, in the style of richard phillips,, shepard fairey,, silkscreen,, dark yellow and green,, shiny/glossy,, martin ansin,, graphic design poster art --ar 1:2 --stylize 750 --v 5., 2"
kintsukuroi,"a woman dressed as a clown with red hair,, in the style of magical girl,, colorful moebius,, light yellow and dark crimson,, pencilsteampunk,, kintsukuroi,, loose and fluid,, stylish costume design --ar 68:128 --stylize 750 --v 5., 2"
scifi fantasy,"scifi fantasy illustration beautiful robot,, in the style of realistic hyper-detailed portraits,, dark white and orange,, classicist portraiture,, dark gold and aquamarine,, realist detail,, hard edge,, technological marvels --ar 68:128 --stylize 750 --v 5., 2"
Vampirella Ella Normandy,"Vampirella Ella Normandy from Warren Publishing,, beautiful charismatic girl,, athletic body,, gorgeous figure,, interesting shapes,, full body shot,, atmosphere of horror and fear,, in the style of horror films,, in the style of jessica drossin,, kitsch,, life-size figures,, catcore,"
girl,"anime girl,, in the style of frank thorne,, romanticized femininity,, makoto aida,, elegant,, emotive faces,, close up --ar 3:4 --stylize 750 --niji 5"
jessica drossin,"very beautiful girl in bright leggings,, white short top,, charismatic personality,, professional photo,, style of jessica drossin,, super realistic photo,, hyper detail,, great attention to skin and eyes,, professional photo,, "
Ninja Turtles,"Teenage Mutant Ninja Turtles,, professional portrait,, hyper realistic,, ultra detailed photograph,, captured with a 85mm lens,, f4., 6,, bokeh,, ultra detailed,, ultra accurate detailed,, bokeh lighting,, surrealism,, urban settin,, ultra unreal engine,, intricate,, kitsch,, -- ar 51:81"
woman,"a young woman standing in the grass,, in the style of stark black-and-white photography,, hasselblad 1600f,, coastal landscapes,, expressive facial features,, dutch landscapes,, soft atmospheric scenes,, powerful portraits --ar 68:128 --stylize 750 --v 5., 2"
painting,"the painting is colored in orange,, black and yellow,, in the style of complex compositions,, dark white and light red,, circular abstraction,, dmitry spiros,, industrial materials,, balanced proportions,, hard edge painting --ar 71:128 --stylize 750 --v 5., 2"
realism,"abstract realism painting in orange and grey with modern brush techniques,, in the style of bauhaus functional design,, light yellow and dark red,, circular shapes,, dmitry spiros,, abstract sculpture,, layered and complex compositions,, masculine neo-cubism --ar 71:128 --stylize 750 --v 5., 2"
theo el,"alien cyborg art and illustration by theo el,, in the style of balanced symmetry,, light orange and cyan,, detailed facial features,, manticore,, organic forms,, muted tones,, meticulous portraiture,, complex patterns --ar 1:2 --stylize 750 --v 6"
Pixar,"cartoon 3D sunny bright Pixar-style image : super hero : full costume : cinematic --ar 68:128 --stylize 750 --v 5., 2"
Athens,"/imagine prompt: post classic,, portrait photography,, boho outfit,, super realistic woman,, sitting in a street coffee shop,, with a small greek laurels gold crown,, drinking coffee in modern Athens,, dusk blurred Parthenon in the background"
Silhouette,"Silhouette taking a shower,, steam from hot water in the room,, beautiful body,, beautiful shape,, high detail,, realistic details,, high ultra-detail,, in the style of illusory wallpaper portraits,, colorful realism,, modular,, intense close-ups,, uhd image,, realism,"
juliana nan,"smoke sculpture portrait of a woman,, in the style of flowing fabrics,, delicate ink washes,, dance,, juliana nan,, clear and crisp,, mandy disher,, movement and spontaneity captured --ar 73:106 --stylize 750 --v 5., 2"
Pixar,"cartoon 3D sunny bright Pixar-style image : dragon : cinematic --ar 68:128 --stylize 750 --v 5., 2"
series,"a series of [people] are shown in isometric fashion,, in the style of small brushstrokes,, white background,, simple colors,, casts of spaces,, simple colors --v 5., 2"
jay bennett tv,"jay bennett tv program 'loudonian',, 1987,, acrylic on canvas,, 45 x 36 in,, in the style of graffiti-inspired animals,, dynamic and exaggerated facial expressions,, stephen hillenburg,, intense emotional expression,, black paintings,, arturo souto,, mcdonaldpunk --ar 2:3 --stylize 750 --v 5., 2"
white sci-fi,"white sci-fi female armor with cybernetic helmet,, full armor,, insulated armor,, spacesuit,, bald head,, lots of fine detail,, sci-fi movie style,, outdoor photo,, photography,, natural light,, photorealism,, cinematic rendering,, ray tracing,, the highest quality,, the highest detail,, Cinematic,, Third-Person Vi [., ., ., ]"
patrick demarchelier,"the face of a woman with brown eyes the face of a person,, in the style of yigal ozeri,, light navy and light gray,, patrick demarchelier,, alayna lemmer,, focus on joints/connections,, caravaggism,, studio light --ar 44:65 --stylize 750 --v 5., 2"
william mcintosh,"artist william mcintosh painted a pretty face for a lady to look at,, in the style of graphic design poster art,, hyper-detailed,, light amber and green,, shepard fairey,, close-up,, shiny/glossy,, zaha hadid --ar 1:2 --stylize 750 --v 5., 2"
mike deodato,"an oil painting of a woman with long black hair,, in the style of mike deodato,, contemporary middle eastern and north african art,, charming character illustrations,, gray and amber,, dmitri danish,, digitally enhanced,, alice pasquini --ar 1:2 --stylize 750 --v 6"
camilla d'errico,"a person in a metal suit with a chain,, in the style of gum bichromate,, camilla d'errico,, light bronze and pink,, disfigured forms,, webcam photography,, religious camilla d'erricos,, donna huanca --ar 70:87 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
Fibonacci,"Fibonacci sequence and beauty,, feminine curves,, beautiful Asian model portrait,, fine-lined curves and details,, in the style of high fashion,, long brown hair,, striking eyes,, slight smile,, dynamic composition,, highly textured --chaos 12 --ar 68:128 --style 2EX4xsZkKozAxjh0ObRFrSE3D-7Lva4CUz6Tepj6SaF2kbCXtwoHrpaMa8Dfh0Z --stylize 870 --v 5., 2"
xu beihong,"an asian woman in stockings,, in the style of unreal engine 5,, sentimental realism,, realistic yet ethereal,, animated gifs,, xu beihong,, shiny eyes,, light red and dark beige --ar 14:17 --stylize 750 --v 5., 2"
king,"king of apes,, fashion casual ape,, sneakers,, sunglasses,, jeans pants,, futuristic background,, full figure,, in cyberpunk style,, masterpiece,, best quality,, high detail,, photorealistic,, hr,, --chaos 0"
Felicia Simion,"Chinese model poses for a selfie,, in the style of social media influencers,, webcam photography,, Felicia Simion,, photo taken with Provia,, hinchel or,, shiny --ar 68:128 --stylize 750 --v 6"
idaho,"idaho artist art woman with black dust,, in the style of overexposure,, alena aenami,, strong emotional impact,, carolina herrera,, grit and grain,, teun hocks,, disintegrated --ar 45:56 --s 750 --style raw"
Cybernetics,"Cybernetics,, action movie protagonist,, female warrior,, virus,, cyberspace,, repeating patterns,, unreal,, sound waves,, free melody,, digital world,, reflection,, masterpiece,, 32k UHD resolution,, high quality,, professional photography,, depth of filed,, sci-fi,, cinematic angle,, cinematic lights,, dynamic warrior pose --ar 3:4 --v 5., 2"
Alfons Mucha,"beautiful female warrior,, short blue hair,, shimmering jewels armor,, in the style of Alfons Mucha,, with emphasis on light play and the transparency of the glass,, High and short depth of field,, Ray tracing,, FHD,, hyper quality --ar 9:16 --s 1000 --v 6., 0"
mark lague,"a drawing of a head,, in the style of reimagined religious art,, mark lague,, florian nicolle,, biblical iconography,, caravaggesque,, eddie colla,, distinct framing --ar 71:128 --stylize 750 --v 5., 2"
painting,"a digital painting of an old man with a beard and some dark grays,, in the style of photorealistic urban scenes,, uhd image,, algeapunk,, rusty debris,, vibrant portraits,, flickr,, soft-focus portraits"
lightup purple girl,"a beautiful lightup purple girl is posing in front of her neon clothing,, in the style of dark orange and azure,, shallow depth of field,, sunny impressionism,, light green and red,, close-up intensity,, photo-realistic techniques,, bright and bold color palette --ar 1:2 --stylize 750 --v 5., 2"
